avatar_name,product_id,price
Al Bee Avatar,beesmart.avatar.al_bee,1.99
Brother Bee Avatar,beesmart.avatar.brother_bee,0.00
Buda Bee Avatar,beesmart.avatar.buda_bee,0.99
Builder Bee Avatar,beesmart.avatar.builder_bee,0.00
Buzz Bee Avatar,beesmart.avatar.buzz_bee,0.99
Cool Bee Avatar,beesmart.avatar.cool_bee,0.00
Cutie Bee Avatar,beesmart.avatar.cutie_bee,0.99
Detective Bee Avatar,beesmart.avatar.detective_bee,0.00
Diva Bee Avatar,beesmart.avatar.diva_bee,1.99
Doc Bee Avatar,beesmart.avatar.doc_bee,0.99
Explorer Bee Avatar,beesmart.avatar.explorer_bee,0.00
Fairy Bee Avatar,beesmart.avatar.fairy_bee,1.99
Franken Bee Avatar,beesmart.avatar.franken_bee,0.99
Gamer Bee Avatar,beesmart.avatar.gamer_bee,1.99
Honey Comb Avatar,beesmart.avatar.honey_comb,0.99
Inventor Bee Avatar,beesmart.avatar.inventor_bee,1.99
J Rock Bee Avatar,beesmart.avatar.j_rock_bee,0.99
Knight Bee Avatar,beesmart.avatar.knight_bee,0.99
Lumberjack Bee Avatar,beesmart.avatar.lumberjack_bee,1.99
Mascot Bee Avatar,beesmart.avatar.mascot_bee,0.00
Motor Bee Avatar,beesmart.avatar.motor_bee,0.99
Nurse Bee Avatar,beesmart.avatar.nurse_bee,1.99
O Bee Avatar,beesmart.avatar.o_bee,0.99
Plumber Bee Avatar,beesmart.avatar.plumber_bee,1.99
Professor Bee Avatar,beesmart.avatar.professor_bee,0.99
Queen Bee Avatar,beesmart.avatar.queen_bee,1.99
Robo Bee Avatar,beesmart.avatar.robo_bee,1.99
Rocker Bee Avatar,beesmart.avatar.rocker_bee,0.99
Sea Bee Avatar,beesmart.avatar.sea_bee,0.99
Selfie Bee Avatar,beesmart.avatar.selfie_bee,0.99
Singer Bee Avatar,beesmart.avatar.singer_bee,0.99
Space Bee Avatar,beesmart.avatar.space_bee,0.99
Super Bee Avatar,beesmart.avatar.super_bee,0.99
Techno Bee Avatar,beesmart.avatar.techno_bee,1.99
Umpire Bee Avatar,beesmart.avatar.umpire_bee,1.99
Vamp Bee Avatar,beesmart.avatar.vamp_bee,0.99
Ware Bee Avatar,beesmart.avatar.ware_bee,1.99
Xray Bee Avatar,beesmart.avatar.xray_bee,1.99
Yeti Bee Avatar,beesmart.avatar.yeti_bee,1.99
Zom Bee Avatar,beesmart.avatar.zom_bee,1.99
