avatar_id,name,tier,price_usd,product_id,category,is_locked
brother-bee,Brother Bee Avatar,default_free,0.0,,classic,False
builder-bee,Builder Bee Avatar,default_free,0.0,,profession,False
cool-bee,Cool Bee Avatar,default_free,0.0,,classic,False
detective-bee,Detective Bee Avatar,default_free,0.0,,profession,False
explorer-bee,Explorer Bee Avatar,default_free,0.0,,adventure,False
buzz-bee,Buzz Bee Avatar,earn_or_buy,0.99,beesmart.avatar.buzz_bee.v2,classic,True
cutie-bee,Cutie Bee Avatar,earn_or_buy,0.99,beesmart.avatar.cutie_bee.v2,cute,True
knight-bee,Knight Bee Avatar,earn_or_buy,0.99,beesmart.avatar.knight_bee.v2,fantasy,True
professor-bee,Professor Bee Avatar,earn_or_buy,0.99,beesmart.avatar.professor_bee.v2,profession,True
rocker-bee,Rocker Bee Avatar,earn_or_buy,0.99,beesmart.avatar.rocker_bee.v2,entertainment,True
selfie-bee,Selfie Bee Avatar,earn_or_buy,0.99,beesmart.avatar.selfie_bee.v2,entertainment,True
vamp-bee,Vamp Bee Avatar,earn_or_buy,0.99,beesmart.avatar.vamp_bee.v2,fantasy,True
mascot-bee,Mascot Bee Avatar,mascot_free,0.0,,classic,False
al-bee,Al Bee Avatar,premium,1.99,beesmart.avatar.al_bee.v2,classic,True
buda-bee,Buda Bee Avatar,premium,0.99,beesmart.avatar.buda_bee.v2,spiritual,True
diva-bee,Diva Bee Avatar,premium,1.99,beesmart.avatar.diva_bee.v2,entertainment,True
doc-bee,Doc Bee Avatar,premium,0.99,beesmart.avatar.doc_bee.v2,profession,True
fairy-bee,Fairy Bee Avatar,premium,1.99,beesmart.avatar.fairy_bee.v2,fantasy,True
franken-bee,Franken Bee Avatar,premium,0.99,beesmart.avatar.franken_bee.v2,fantasy,True
gamer-bee,Gamer Bee Avatar,premium,1.99,beesmart.avatar.gamer_bee.v2,classic,True
honey-comb,Honey Comb Avatar,premium,0.99,beesmart.avatar.honey_comb.v2,classic,True
inventor-bee,Inventor Bee Avatar,premium,1.99,beesmart.avatar.inventor_bee.v2,adventure,True
j-rock-bee,J Rock Bee Avatar,premium,0.99,beesmart.avatar.j_rock_bee.v2,entertainment,True
lumberjack-bee,Lumberjack Bee Avatar,premium,1.99,beesmart.avatar.lumberjack_bee.v2,adventure,True
motor-bee,Motor Bee Avatar,premium,0.99,beesmart.avatar.motor_bee.v2,action,True
nurse-bee,Nurse Bee Avatar,premium,1.99,beesmart.avatar.nurse_bee.v2,classic,True
o-bee,O Bee Avatar,premium,0.99,beesmart.avatar.o_bee.v2,fantasy,True
plumber-bee,Plumber Bee Avatar,premium,1.99,beesmart.avatar.plumber_bee.v2,classic,True
queen-bee,Queen Bee Avatar,premium,1.99,beesmart.avatar.queen_bee.v2,royal,True
robo-bee,Robo Bee Avatar,premium,1.99,beesmart.avatar.robo_bee.v2,tech,True
sea-bee,Sea Bee Avatar,premium,0.99,beesmart.avatar.sea_bee.v2,adventure,True
singer-bee,Singer Bee Avatar,premium,0.99,beesmart.avatar.singer_bee.v2,entertainment,True
space-bee,Space Bee Avatar,premium,0.99,beesmart.avatar.space_bee.v2,adventure,True
super-bee,Super Bee Avatar,premium,0.99,beesmart.avatar.super_bee.v2,fantasy,True
techno-bee,Techno Bee Avatar,premium,1.99,beesmart.avatar.techno_bee.v2,fantasy,True
umpire-bee,Umpire Bee Avatar,premium,1.99,beesmart.avatar.umpire_bee.v2,adventure,True
ware-bee,Ware Bee Avatar,premium,1.99,beesmart.avatar.ware_bee.v2,fantasy,True
xray-bee,Xray Bee Avatar,premium,1.99,beesmart.avatar.xray_bee.v2,fantasy,True
yeti-bee,Yeti Bee Avatar,premium,1.99,beesmart.avatar.yeti_bee.v2,fantasy,True
zom-bee,Zom Bee Avatar,premium,1.99,beesmart.avatar.zom_bee.v2,fantasy,True
