product_id,avatar_id,display_name,price_usd,purchasable,tier,source
com.beesmart.avatar.al-bee,al-bee,Al Bee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.anxious-bee,anxious-bee,Anxious Bee Avatar,0.99,True,special,catalog
com.beesmart.avatar.astro-bee,astro-bee,Astro Bee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.bee-knight,bee-knight,Bee Knight Avatar,,True,,extra
com.beesmart.avatar.biker-bee,biker-bee,Biker Bee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.brother-bee,brother-bee,Brother Bee Avatar,0.0,False,default_free,catalog
com.beesmart.avatar.buda-bee,buda-bee,Buda Bee Avatar,,True,,extra
com.beesmart.avatar.builder-bee,builder-bee,Builder Bee Avatar,0.0,False,default_free,catalog
com.beesmart.avatar.buzz-bee,buzz-bee,Buzz Bee Avatar,0.99,True,earn_or_buy,catalog
com.beesmart.avatar.cool-bee,cool-bee,Cool Bee Avatar,0.0,False,default_free,catalog
com.beesmart.avatar.cutie-bee,cutie-bee,Cutie Bee Avatar,,True,,extra
com.beesmart.avatar.detective-bee,detective-bee,Detective Bee Avatar,0.0,False,default_free,catalog
com.beesmart.avatar.diva-bee,diva-bee,Diva Bee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.doc-bee,doc-bee,Doc Bee Avatar,,True,,extra
com.beesmart.avatar.doctor-bee,doctor-bee,Doctor Bee Avatar,0.99,True,earn_or_buy,catalog
com.beesmart.avatar.explorer-bee,explorer-bee,Explorer Bee Avatar,0.0,False,default_free,catalog
com.beesmart.avatar.firefighter-bee,firefighter-bee,Firefighter Bee Avatar,0.99,True,premium,catalog
com.beesmart.avatar.honey-comb,honey-comb,Honey Comb Avatar,,True,,extra
com.beesmart.avatar.jrock-bee,jrock-bee,Jrock Bee Avatar,,True,,extra
com.beesmart.avatar.knight-bee,knight-bee,Knight Bee Avatar,0.99,True,earn_or_buy,catalog
com.beesmart.avatar.mascot-bee,mascot-bee,Mascot Bee Avatar,0.0,False,mascot,catalog
com.beesmart.avatar.monster-bee,monster-bee,Monster Bee Avatar,0.99,True,earn_or_buy,catalog
com.beesmart.avatar.motor-bee,motor-bee,Motor Bee Avatar,,True,,extra
com.beesmart.avatar.obee,obee,Obee Avatar,,True,,extra
com.beesmart.avatar.professor-bee,professor-bee,Professor Bee Avatar,0.99,True,premium,catalog
com.beesmart.avatar.queen-bee,queen-bee,Queen Bee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.robo-bee,robo-bee,Robo Bee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.rocker-bee,rocker-bee,Rocker Bee Avatar,0.99,True,earn_or_buy,catalog
com.beesmart.avatar.sea-bee,sea-bee,Sea Bee Avatar,,True,,extra
com.beesmart.avatar.seabea,seabea,Seabea Avatar,0.99,True,earn_or_buy,catalog
com.beesmart.avatar.selfie-bee,selfie-bee,Selfie Bee Avatar,0.99,True,earn_or_buy,catalog
com.beesmart.avatar.singer-bee,singer-bee,Singer Bee Avatar,,True,,extra
com.beesmart.avatar.space-bee,space-bee,Space Bee Avatar,,True,,extra
com.beesmart.avatar.super-bee,super-bee,Super Bee Avatar,,True,,extra
com.beesmart.avatar.superbee,superbee,Superbee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.vamp-bee,vamp-bee,Vamp Bee Avatar,0.99,True,premium,catalog
com.beesmart.avatar.ware-bee,ware-bee,Ware Bee Avatar,1.99,True,premium,catalog
com.beesmart.avatar.zom-bee,zom-bee,Zom Bee Avatar,1.99,True,premium,catalog
